AgileAdamCSM,0,0,"Meet Kavitha Sastry, Advisor for Cloud and Platform Engineering, India at @CAinc and learn what advice she has for women leaders. http:// go.ca.com/a3GJed #LifeAtCA #BringWhatYouBring pic.twitter.com/NzXDkSTMKw",@CAinc,#LifeAtCA #BringWhatYouBring,956315088281104384,https://twitter.com/AgileAdamCSM/status/956315088281104384
thebestrips,0,0,Please RT if you like!! #Travel India : Destination Himalayas http:// bit.ly/2qjQUT6,,#Travel,956315064054812672,https://twitter.com/thebestrips/status/956315064054812672
Boootaaayyy,0,1,"just peeped monkeys be chilling in India as to pigeons in the city. yo wtf ,",,,956315058853859328,https://twitter.com/Boootaaayyy/status/956315058853859328
blackalive_,0,0,Maoism in India and Nepal (Hardback) - Routledge http:// ref.gl/rtZKWqYi,,,956315049982705665,https://twitter.com/blackalive_/status/956315049982705665
keylacalderon23,0,0,He añadido un vídeo a una lista de reproducción de @YouTube ( http:// youtu.be/mtL9UisBPCE?a - me canse de ser la otra - india ).,@YouTube,,956315042898763776,https://twitter.com/keylacalderon23/status/956315042898763776
jamiesaker,0,1,"You know that with his intellect and racial zeal, one of these days Steve will demand that we send the Indians back to India too. #MakeAmericaWhiteAgain #PatriarchyPride",,#MakeAmericaWhiteAgain #PatriarchyPride,956315011147796480,https://twitter.com/jamiesaker/status/956315011147796480
richgdrall,0,0,India mentre rt food porn ti penso <3,,,956314983243141121,https://twitter.com/richgdrall/status/956314983243141121
woahsana,3,3,"Currently watching neonetwork news, how is the innocent death of that lil girl Zainab suddenly political? I feel like countries like Pakistan and India would rather turn it into politics instead of admitting that these things are happening... shameful.",,,956314971830448128,https://twitter.com/woahsana/status/956314971830448128
HANMANDLOOK,0,1,"'MODI' IS INDIAN POWER. LEAD INDIA FOR FURTHER STAGE OF FAST ECONOMIC DEVELOPMENT WITH ENTREPRENEUR FRIENDLY REFORMS WITH IMPARTIAL ADMINISTRATION. NEED TO IMPROVE ENFORCEMENT MECHANISM FOR BETTER, FAST, CORRECT RESULTS. LET INDIANS KNOW DAYS OF 'CHALTA HAI, WE CAN MANAGE' GONE.",,,956314957196312581,https://twitter.com/HANMANDLOOK/status/956314957196312581
dugjohnson,0,1,"Just got text that my app for visa to visit India made it past first screen (did I get all the stuff) and on to the consulate. Yay! Software is very good, process is really meticulous and made sense for a very stringent process. And automatic updates. What a concept?!",,,956314935155462144,https://twitter.com/dugjohnson/status/956314935155462144
AGameWriter,0,0,"You'll always have India , right?",,,956314929245642752,https://twitter.com/AGameWriter/status/956314929245642752
Olivier_R45,0,0,The China Daily est en ligne! https:// paper.li/f-1469908614?e dition_id=e20233d0-0140-11e8-83ab-002590a5ba2d … #india,,#india,956314916079767552,https://twitter.com/Olivier_R45/status/956314916079767552
JasonPtrDavies,0,0,"Not going to join u in chasing 'what about the starving children in India ' to the bottom. Ripping people off can have serious consequences, + we *do* have people dying on the streets in a rich country. If u r flippant about that, you don't care about anything and I can't help u",,,956314914322337792,https://twitter.com/JasonPtrDavies/status/956314914322337792
BankIFSCcode,0,0,"MICR Code: 846026002, UNION BANK OF INDIA , Darbhanga, http:// BankIFSCcode.com https:// goo.gl/fb/aBnA7U #micr",,#micr,956314906520891393,https://twitter.com/BankIFSCcode/status/956314906520891393
YoDoyPenaAjena,0,0,Y esta Triplehpt@india patirajada de mierd@tiene el descaro de filmar al nene en esas ....,@india @tiene,,956314898211975168,https://twitter.com/YoDoyPenaAjena/status/956314898211975168
ziaulcuba,0,0,"Colombia pondrá por primera vez un satélite en órbita, será lanzado desde la India | Noticias Caracol https:// fb.me/1TAJbEXn1",,,956314887696912385,https://twitter.com/ziaulcuba/status/956314887696912385
Flor__Reyna,0,0,"Sofi se abrió la cabeza, esa nena es una India",,,956314885671006208,https://twitter.com/Flor__Reyna/status/956314885671006208
Atali,0,10,Noche india :) pic.twitter.com/gJwj5wbUj2,,,956314872115007488,https://twitter.com/Atali/status/956314872115007488
linkmanishsc,0,0,"And of course, his conviction for not letting go India is well known. One should read his biography or at least his Wiki page.",,,956314872073113600,https://twitter.com/linkmanishsc/status/956314872073113600
jackmassie,0,1,South Africa rollout green seamers with 11 wickets in a day and no one cares. India provide dust bowls and everyone loses their mind. @leonmc7 @mjryan26,@leonmc7 @mjryan26,,956314860052103168,https://twitter.com/jackmassie/status/956314860052103168
uh_huhhunnii,0,0,Thank you India,,,956314848576536577,https://twitter.com/uh_huhhunnii/status/956314848576536577
HiYKrcLnCIFrdjv,0,0,"Q1)""Federal Investigation Agency"" is a central Investigation Agency of which country? 1 India 2 Germany 3 Pakistan 4 China",,,956314831031746561,https://twitter.com/HiYKrcLnCIFrdjv/status/956314831031746561
Indiacitys,0,0,LPCUBE SYSTEMS INDIA PRIVATE LIMITED https:// goo.gl/fb/2FDp8c #tamilnadu #ads,,#tamilnadu #ads,956314816397893632,https://twitter.com/Indiacitys/status/956314816397893632
ME_TOCA_LOS_COJ,3,10,"Los paises con audiencia menos toxica en youtube: Canada, EEUU, India , Japon, Australia, Malasia",,,956314802980376576,https://twitter.com/ME_TOCA_LOS_COJ/status/956314802980376576
jibujoy,0,0,Is it New India ....?,,,956314756591206400,https://twitter.com/jibujoy/status/956314756591206400
Every_Protest,0,0,India -Themed Cafe In London Faces Protest For Glorifying British Empire http:// ift.tt/2rGoxl0,,,956314744041992195,https://twitter.com/Every_Protest/status/956314744041992195
DiabaAntonia,0,0,"Meus seguidores são de EUA(21%),Brasil(21%), Índia (16%) http:// tweepsmap.com/!DiabaAntonia pic.twitter.com/hl1lv238NP",,,956314743958069248,https://twitter.com/DiabaAntonia/status/956314743958069248
DP_8888,1,1,"@Shehla_Rashid @RanaAyyub & @_sabanaqvi be thankful that you are born in India . Even camels cant make it to the beauty contest in Saudi Arabia, while all of you enjoy in India . https://www. theguardian.com/world/2018/jan /24/saudi-camel-beauty-contest-judges-get--hump-botox-cheats …",@Shehla_Rashid @RanaAyyub @_sabanaqvi,,956314725834346496,https://twitter.com/DP_8888/status/956314725834346496
vitoryardg,0,0,não tem emoji que representa a índia que eu sou? fico caçando um que represente but no find,,,956314717680816129,https://twitter.com/vitoryardg/status/956314717680816129
cloudspml,0,1,"hahah sorry! basically chutiya is an insult in hindi, chappal means sandal and nagaland is a state in india :)",,,956314717508833287,https://twitter.com/cloudspml/status/956314717508833287
ChamberlinChris,0,1,"Better #WiFi coverage coming for flights to #Europe , #Gulf states as #India paves the way for inflight WiFi in its airspace https://www. ausbt.com.au/better-wifi-co verage-coming-for-flights-to-europe-gulf-states … #PaxEx #InflightConnectivity",,#WiFi #Europe #Gulf #India #PaxEx #InflightConnectivity,956314688907755520,https://twitter.com/ChamberlinChris/status/956314688907755520
Myaser79,0,3,In the past the British colonizers were conspiring the world through the East India Company and now BP is a good successor to good predecessor.,,,956314673627967491,https://twitter.com/Myaser79/status/956314673627967491
ekaierinavduoz,0,0,OnePlus 5T Lava Red Variant Now On Sale In India For ₹37999,,,956314642355236866,https://twitter.com/ekaierinavduoz/status/956314642355236866
